Page Name,URL Path,File Path,Section Name,Element Type,Content Text,Approx Line,Notes/Alignment Issues
Beacon Module,/modules/beacon,src/app/modules/beacon/page.tsx,Anomaly Detection,Text,Detects unusual configurations or transaction flows that may indicate elevated risk.,62,
Beacon Module,/modules/beacon,src/app/modules/beacon/page.tsx,Evidence-Based Response,Heading,Evidence-Based Response,70,
Beacon Module,/modules/beacon,src/app/modules/beacon/page.tsx,Evidence-Based Response,Text,Helps jurisdictions respond with evidence-based prioritization and review.,72,
Beacon Module,/modules/beacon,src/app/modules/beacon/page.tsx,Integration,Heading,Integration,80,
Beacon Module,/modules/beacon,src/app/modules/beacon/page.tsx,Integration,Text,Integrates with Fortrix Ledger to provide context and a complete event history.,82,
Ledger Module,/modules/ledger,src/app/modules/ledger/page.tsx,Hero,Title,Fortrix Ledger,41,
Ledger Module,/modules/ledger,src/app/modules/ledger/page.tsx,Hero,Subtitle,Immutable evidence engine for system-of-record integrity.,42,
Ledger Module,/modules/ledger,src/app/modules/ledger/page.tsx,Purpose,Heading,Purpose,50,
Ledger Module,/modules/ledger,src/app/modules/ledger/page.tsx,Purpose,Text,Every critical event is captured with full attribution timestamping and reconciliation support — creating a verifiable audit trail for compliance review or investigation.,52,
Ledger Module,/modules/ledger,src/app/modules/ledger/page.tsx,Benefits,Heading,Benefits,59,
Ledger Module,/modules/ledger,src/app/modules/ledger/page.tsx,Benefits,Immutable Recording,Immutable event recording ensures audit logs cannot be altered or deleted.,64,
Ledger Module,/modules/ledger,src/app/modules/ledger/page.tsx,Benefits,Canonical Timelines,Canonical source-of-truth timelines provide complete event reconstruction.,70,
Ledger Module,/modules/ledger,src/app/modules/ledger/page.tsx,Benefits,Segregation of Duties,Segregation-of-duties enforcement maintains operational integrity and prevents conflicts.,76,
Ledger Module,/modules/ledger,src/app/modules/ledger/page.tsx,Benefits,Audit Export,Export-ready for auditors with structured formats supporting regulatory submissions.,82,
Retail Module,/modules/retail,src/app/modules/retail/page.tsx,Hero,Title,Fortrix Retail,41,
Retail Module,/modules/retail,src/app/modules/retail/page.tsx,Hero,Subtitle,Provider-agnostic API and transaction verification layer.,42,
Retail Module,/modules/retail,src/app/modules/retail/page.tsx,Purpose,Heading,Purpose,50,
Retail Module,/modules/retail,src/app/modules/retail/page.tsx,Purpose,Text,Fortrix Retail standardizes payloads and streamlines integrations across vendor systems enabling consistent oversight of transactions handoffs and reconciliations.,52,
Retail Module,/modules/retail,src/app/modules/retail/page.tsx,Works With CGS,Heading,Works With CGS Vendors,60,
Retail Module,/modules/retail,src/app/modules/retail/page.tsx,Works With CGS,Text,Designed to integrate with vendor platforms through standardized interfaces reducing custom rework and making oversight and reconciliation smoother for everyone.,62,
Retail Module,/modules/retail,src/app/modules/retail/page.tsx,Monitoring,Heading,Monitoring,70,
Retail Module,/modules/retail,src/app/modules/retail/page.tsx,Monitoring,Text,Optional performance and SLA monitoring to support operational oversight.,72,
Trust & Security,/trust-security,src/app/trust-security/page.tsx,Hero,Title,Security engineered for oversight.,33,
Trust & Security,/trust-security,src/app/trust-security/page.tsx,Hero,Subtitle,Trust and security at Fortrix are built around independent verification defensible evidence and controls designed to stand up to regulatory scrutiny.,34,
Trust & Security,/trust-security,src/app/trust-security/page.tsx,Trust Introduction,Paragraph 1,In regulated lottery environments confidence is built on evidence. Fortrix preserves a verifiable record of what happened when it happened and why even across complex multi-provider systems.,43,CHECK: "multi-provider" - verify consistency
Trust & Security,/trust-security,src/app/trust-security/page.tsx,Trust Introduction,Paragraph 2,Fortrix operates as an independent control layer that complements operational and vendor systems supporting consistent oversight and increasing confidence in outcomes.,46,CHECK: "independent control layer" (singular) vs "independent controls layer" (plural)
Trust & Security,/trust-security,src/app/trust-security/page.tsx,How Fortrix Approaches,Heading,How Fortrix approaches trust and security,54,
Trust & Security,/trust-security,src/app/trust-security/page.tsx,How Fortrix Approaches,Bullet 1,Validates system activity and complements provider reporting with verifiable evidence,59,
Trust & Security,/trust-security,src/app/trust-security/page.tsx,How Fortrix Approaches,Bullet 2,Preserves tamper-evident records to maintain a complete and traceable evidence trail,65,
Trust & Security,/trust-security,src/app/trust-security/page.tsx,How Fortrix Approaches,Bullet 3,Maintains clear separation between operational systems and oversight controls,71,
Trust & Security,/trust-security,src/app/trust-security/page.tsx,How Fortrix Approaches,Bullet 4,Supports jurisdiction-level governance and regulatory oversight requirements.,77,CHECK: Period at end - inconsistent with other bullets
Trust & Security,/trust-security,src/app/trust-security/page.tsx,How Fortrix Approaches,Bullet 5,Designed to operate consistently across multi-provider environments,83,
Trust & Security,/trust-security,src/app/trust-security/page.tsx,Built for Audit,Heading,Built for Audit and Review,143,
Trust & Security,/trust-security,src/app/trust-security/page.tsx,Built for Audit,Text,Fortrix supports audits reviews and regulatory inquiries by maintaining clear traceable and tamper-evident records of system activity across partners and environments. Data is preserved in a way that supports reconstruction and accountability over time.,145,CHECK: "audits reviews" (no comma) vs "audits reviews" elsewhere
Contact,/contact,src/app/contact/page.tsx,Hero,Title,Contact Fortrix Systems Inc.,35,
Contact,/contact,src/app/contact/page.tsx,Hero,Subtitle,Get in touch to discuss oversight audit readiness or regulatory requirements across complex lottery environments.,36,
Contact,/contact,src/app/contact/page.tsx,Introduction,Text,Whether you're a regulator operator or oversight body we're happy to talk through your environment requirements or upcoming audits. Initial conversations are exploratory and focused on understanding your needs.,45,
Contact,/contact,src/app/contact/page.tsx,You might reach out,Heading,You might reach out to us about:,53,
Contact,/contact,src/app/contact/page.tsx,You might reach out,Bullet 1,Oversight and audit readiness questions,58,
Contact,/contact,src/app/contact/page.tsx,You might reach out,Bullet 2,Understanding how Fortrix fits your lottery environment,64,
Contact,/contact,src/app/contact/page.tsx,You might reach out,Bullet 3,RFPs procurement or regulatory reviews,70,
Contact,/contact,src/app/contact/page.tsx,You might reach out,Bullet 4,Platform or module capabilities,76,
Contact,/contact,src/app/contact/page.tsx,Closing,Text,Fortrix works with organizations that value clarity accountability and independent oversight.,162,
,,,,,,
ALIGNMENT ISSUES SUMMARY,,,,,,
Issue Category,Location,Current Text,Recommended Standard,Pages Affected,Priority
Terminology,"Home About Platform","independent controls layer" (plural),DECIDE: Use "independent control layer" (singular) or "independent controls layer" (plural) consistently,Home About Platform,High
Terminology,"Lottery Solutions Trust & Security","independent control layer" (singular),DECIDE: Use "independent control layer" (singular) or "independent controls layer" (plural) consistently,Lottery Solutions Trust & Security,High
Terminology,Home,"audit-ready records",DECIDE: Standardize on one: "records" "reporting" or "evidence",Home,Medium
Terminology,About,"audit-ready reporting",DECIDE: Standardize on one: "records" "reporting" or "evidence",About,Medium
Terminology,Platform,"audit-ready evidence",DECIDE: Standardize on one: "records" "reporting" or "evidence",Platform,Medium
Terminology,Multiple,"multi-provider" vs "multi-vendor" vs "multi-party",DECIDE: Standardize terminology for multi-system environments,Multiple pages,High
Terminology,Multiple,"systems and partners" vs "systems and vendors",DECIDE: Use consistent phrasing,Home About Platform,Medium
Punctuation,About Track Record,"First hand involvement..." (has period),DECIDE: Remove period for consistency with other bullets,About,Low
Punctuation,Trust & Security,"Supports jurisdiction-level..." (has period),DECIDE: Remove period for consistency with other bullets,Trust & Security,Low
Punctuation,Multiple,"audits reviews" vs "audits and reviews" vs "audits reviews",DECIDE: Use consistent comma/and usage,Multiple pages,Medium
Phrasing,Multiple,"evidence-based" (hyphenated),VERIFY: All instances use hyphen consistently,Multiple pages,Low
Phrasing,Multiple,"CGS providers" vs "CGS vendors" vs "vendor platforms",DECIDE: Standardize terminology,Lottery Solutions Home,Medium
Capitalization,Multiple,"regulatory oversight" vs "regulatory review" vs "regulatory inquiries",DECIDE: Use consistent terminology,Multiple pages,Medium
